job,work_type,job_details
Governance Support Analyst,Hybrid,"About the job Governance Support Analyst Having a minimum of 5-8 years of Functional experience in the following areas : Well versed with PMO activities Has prior exposure in using SAP, SRM and CLM systems for creating SC and PO , Vendor master management etc. Experience in vendor management process for IT, Finance , S2P and to be able to collaborate well for getting job donePossess skillset on governing suppliers based on a contract – analyzing spend, TAT and to be able to meet SLA in defined processes and ensure pricing and ROS on monthly basis Willingness to learn new skills and processes Have worked in MNCs, different schedules and to be able to live values and cultureQualificationsBachelor's degree or equivalent experience in Computer Science or related fieldHas prior exposure in using SAP, SRM and CLM systems for creating SC and PO"
Data Engineer,Hybrid,"About the job We are seeking a highly motivated and experienced Data Engineer to join our team. The ideal candidate will have a passion for working with large datasets and a strong desire to drive data-driven insights and solutions. Responsibilities: Design and implement data pipelines to collect, process, and store large amounts of dataWork with stakeholders to understand their data needs and design data solutions to meet those needsCollaborate with data scientists and analysts to develop and implement machine learning modelsDevelop and maintain data governance policies and proceduresMonitor data quality and performance, and implement improvements as neededTroubleshoot production issues and provide support as needed Requirements: 3+ years of experience as a Data EngineerStrong experience with data pipeline and data warehousing technologies such as Apache Kafka, Apache Spark, and SnowflakeKnowledge of SQL and NoSQL databases Knowledge in DatastaxExperience with cloud computing platforms such as AWS or AzureStrong programming skills in Python or similar programming languageExcellent problem-solving and troubleshooting skillsStrong verbal and written communication skills If you're passionate about data engineering and eager to make a positive impact, we want to hear from you!"
Data Engineer,On-site,"About the job Do you love solving real-world data problems with the latest and best techniques? And having fun while solving them in a team! Then come join our high-energy team of passionate data people. Jash Data Sciences is the right place for you. We are a cutting-edge Data Sciences and Data Engineering startup based in Pune, India.We believe in continuous learning and evolving together. And we let the data speak! What will you be doing?You will be discovering trends in the data sets and developing algorithms to transform raw data for further analytics Create Data Pipelines to bring in data from various sources, with different formats, transforming it, and finally loading it to the target database.Implement ETL/ ELT processes in the cloud using tools like AirFlow, Glue, Stitch, Cloud Data Fusion, DataFlow.Design and implement Data Lake, Data Warehouse, and Data Marts in AWS, GCP, or Azure using Redshift, BigQuery, PostgreSQL, etc.Creating efficient SQL queries and understanding query execution plans for tuning queries on engines like PostgreSQL.Performance tuning of OLAP/ OLTP databases by creating indices, tables, and views.Write Python scripts for orchestration of data pipelinesHave thoughtful discussions with customers to understand their data engineering requirements. Break complex requirements into smaller tasks for execution. What do we need from you?Strong Python coding skills with basic knowledge of algorithms/data structures and their application. Strong understanding of Data Engineering concepts including ETL, ELT, Data Lake, Data Warehousing, and Data Pipelines.Experience designing and implementing Data Lakes, Data Warehouses, and Data Marts that support terabytes scale data.A track record of implementing Data Pipelines on public cloud environments (AWS/GCP/Azure) is highly desirableA clear understanding of Database concepts like indexing, query performance optimization, views, and various types of schemas.Hands-on SQL programming experience with knowledge of windowing functions, subqueries, and various types of joins.Experience working with Big Data technologies like PySpark/ HadoopA good team player with an ability to communicate with clarityShow us your git repo/ blog! Qualification1-2 years of experience working on Data Engineering projects for Data Engineer I2-5 years of experience working on Data Engineering projects for Data Engineer II1-5 years of Hands-on Python programming experienceBachelors/Masters's degree in Computer Science is good to haveCourses or Certifications in the area of Data Engineering will be given a higher preference.Candidates who have demonstrated a drive for learning and keeping up to date with technology by continuing to do various courses/self-learning will be given high preference."
FE lead,On-site,"About the job Your Responsibilities:You will develop unique and exciting games for a leading European casino software provider, whose games are played and enjoyed by many players around the world on the biggest brands in the industry Develop new games, game features and game engineWork within scrum team, closely collaborate with Game producers and Art team Create clear and efficient codeYou can take responsibility for your deliverables You have a growth mindset with a passion for new technology, innovation, and new development techniquesYou are curious about how things workYou can pay attention to code maintainability, quality and build it for the long-term useYour Background & Skills4+ years of programming in the gaming/gambling industry Good knowledge of JavaScript, HTML5, CSS3 Knowledge of object-oriented programmingAbility to work with a git and gitlabOpen-minded with creative thinkingTools & Technologies: Tech Stack: JavaScript, PixiJS, PhaserJS, Haxe, Typescript, Webpack, Restful APIs, HTML5, CSS3, HowlerJS, Spine AnimationsTools: Gitlab, Asana, Confluence, SlackKnowledge of object-oriented programmingAbility to work with a git and gitlabOpen-minded with creative thinkingTools & Technologies: Tech Stack: JavaScript, PixiJS, PhaserJS, Haxe, Typescript, Webpack, Restful APIs, HTML5, CSS3, HowlerJS, Spine AnimationsTools: Gitlab, Asana, Confluence, Slack."
Data Engineer,On-site,"About the job Job descriptionGreetings from Ashra technologiesWe are hiringJob role: Data engineerExperience: 6+yearsLocation: ChennaiJob description: Data Engineer Must have skills : 6+ Years of work experiencePyspark, Hadoop, Bigdata , SQL Description:6+ Years of Industry Work ExperienceExcellent Pyspark programming skills & familiarity with various data storage technologies and architecturesExperience extracting data from a variety of sources, and a desire to expand those skills (working knowledge in SQL and Spark is mandatory)Excellent Data Analysis skills. Must be comfortable with querying and analyzing large amount of data on Hadoop HDFS using Hive and Spark.Experience with Object Oriented Programming using Python and its design patterns.Experience handling Unix systems, for optimal usage to host enterprise web applications.Excellent Communication Skills to Understand and Pass on Requirements. Location – Chennai/Pune/MumbaiShift Timings – 2pm to 11pmWFO – Should be ready to work from office as per Organization policy If interested contact 8688322632or share your resume to aksitha@ashratech.com"
Data Engineer,Hybrid,"About the job Zealous to explore opportunity with Product company?Aspiring to utilize your Data engineering skills thus translating business requirements to technical requirements?Ready to challenge technical decisions and designs?Ambitious to make your innovations known to the world?Enthusiastic to implement thoughts that disrupt the routine towards path breaking patentable innovations? If your answer to the above is ‘YES’, here’s an opportunity for you to work with Nagra DTV division of Kudelski Group as Senior Data Analyst/ Senior Data Engineer/ Data Analyst/ Data Engineer.You will be employed Full Time as an Individual Contributor with the DTV division of Nagra @ Bangalore About Kudelski Group: The Kudelski Group is a global leader in digital security and convergent media solutions for the delivery of digital and interactive content. Its technologies are used in a wide range of services and applications requiring access control and rights management. Its four main activity sectors include integrated Digital Television, cyber security, IoT and Public Access solutions.To know more about Kudelski Group visit: https://www.nagra.com About Nagra DTV:The Kudelski Group’s integrated Digital TV division provides secure digital TV access and management systems offering content providers and Digital TV operators worldwide with secure, open, integrated platforms and applications over broadcast, broadband and mobile platforms, enabling compelling and personalized viewing experiences.To know more about Nagra DTV visit https://dtv.nagra.com What will you do?Analyze and translate business requirements to technical requirements.Build the infrastructure required for optimal extraction, transformation, and loading of data from a wide variety of data sources using SQL and AWS ‘big data’ technologies.Design, build, secure, and maintain analytics solutions.Create and maintain optimal data pipeline architecture.Assemble large, complex data sets that meet functional / non-functional business requirements.Identify, design, and implement internal process improvements: automating manual processes, optimizing data delivery, re-designing infrastructure for greater scalability, etc.Work with internal and external stakeholders to assist with data-related technical issues and support their data infrastructure needs.Participate in project planning and estimation activities.Stay up to date on new data warehousing technologies and approaches. You must be/have:Bachelor’s degree / Master’s degree in TechnologyExperience with object-oriented/object function scripting language: PythonAdvanced working knowledge and experience with SQL and NoSQL databases such as Postgres and MongoExpertise in Data Modelling for Data Warehouse such as Redshift, BigQuery, or Snowflake.Hands-on experience and expertise working with AWS services to design, build, secure, and maintain Analytics solutions (S3, Athena, Glue job, Redshift, Lambda, API GW etc.). ExperienceAgile development environmentServer-side experience in IPTV/OTT/STB would be an advantage. Good to have:AWS Certified Data Analytics – Specialty You will learn to:Building data models, automated pipelines for BigData.Business and security analytics dashboards.Use latest and cutting-edge cloud technologies.Product knowledge with respect to IPTV/OTT/STB.DevOps, CI/CD, SAFe Agile Processes."
Walk in drive for Lead Software Engineer (Webscraping),On-site,"About the job Walk In Date - 9th Feb, 10th Feb & 13th Feb 2023.Company Name: Infiniti Research Marketing Solutions Pvt LtdDesignation: Lead Software Engineer (Python Developer + Web Scrapping)Skills Required:Python, Shell scriptingWeb Scraping, Regex Good ExperienceRabbitMQ, AWS Message Queue any other Queue SystemsMySQL, SQLHTML, CSS, JS Roles & Responsibilities:Gather and process raw data at scale (including writing scripts, web scraping, calling APIs, write SQL queries, etc.).Working knowledge of cloud platforms such as AWS, Google Cloud.Expertise in Elastic Search, Python.Experience with data pipelinesArchitect cutting edge solutions.Work closely with team to integrate amazing innovations and algorithms into production systems.Process structured and unstructured data into a form suitable for analysis.Support business decisions with ad hoc analysis as needed. Minimum Experience: 3+ yearNotice Period: Immediate to 45 days maximum.Salary: Based on Co Standards.Location: Kadubeesanahalli, Bangalore.Contact Details: Madhuriv@infinitiresearch.com Note: For more details please DM me for the same."
Sr. SQL Developer,On-site,"About the job Job DescriptionHave the ability to work independently within a team and follow through with priority tasksBe creative with requirements set forth by the other developersHave a working knowledge of records management, information discovery, contentmanagement, knowledge management, and business process managementHave the ability to work with all of the products within the Microsoft Office Product SuiteHave a background in SQL Server development technologiesMust be able to create reports in SSRSMust be able to create ETL packages in SSISJob Specifications:Bachelor’s Degree – Preferably Management Information Systems, Computer Science orComputer Engineering majorsSQL Server Transact SQL – 1+ YearsSSRS and SSIS (BI Development)Proficient with SQL Server 2008 and 2008 R2Proficient in Microsoft SQL Server 2010, configuration, maintenance and developmentMust be able to create SSRS/SSIS projectsMust be able to create stored procedures, views, functions, SQL queries for applicationsMust be able to normalize relational databases. Location: Vadodara (WFO)Job Timings : 2-11PM"
Database Developer,Hybrid,"About the job Job Description (Database Developer)· In-depth understanding of data management like permissions, recovery, security, and monitoring· In-depth knowledge & Hands-on experience in SQL languages & Concepts like PL/SQL, T-SQL, Keys, Views, Joins, Subqueries, Sequences, Stored Procedures, Cursor, Temporary Tables, SQL PARTITION, etc.· Clear understanding of Database Normalisation, Transactions, Cloning, and other advanced concepts & strategies to modernize databases.· Knowledge of software development and user interface web applications.· Familiarity with Databases like MySQL, SQL Server and PostgreSQL· Familiarity with cloud databases & services provided by AWS, Azure, and Google Cloud Platform· Capable of Designing stable, reliable, and effective databases· Review legacy database structure & assist with schema design, code review, and SQL query tuning to Application Developers.· Critical thinking and problem-solving skills.· An ability to understand front-end users’ requirements and a problem-solving attitude.· Excellent verbal and written communication skills.· Snowflake or any other data warehouse system knowledge is an added advantage.· ETL and ELT and other data migrations knowledge is also an added advantage."
Senior Data Engineer,,"About the job We're seeking a Senior Data Engineer to augment its backend processing, reporting and analytics capabilities. The ideal candidate needs to have practical exposure to backend design and optimization techniques, and able to use that knowledge to solve complex problems. The role requires a proactive and self motivated individual, who is willing to take an idea, groom it into a well defined user story, and see through the implementation. Responsibilities Strong development experience, preferably on web based applications, however a mix of desktop and web based applications is also acceptable.A minimum industry experience of 3 years, with significant time spent in the relevant projects.Strong hands on skills on SQL Server 2012/2016/2019, including use of analyzing and debugging tools, query optimization, transaction handling, stored procedures, functions, triggers and views.Experience in designing and implementing highly optimized queries for consistent response time, under a highly variable and fluctuating processing load.Experience in designing solutions to handle very high transactional loads, practical exposure to the concept of throttling and use cases.Experience in converting raw data into usable formats, for reporting and business analytics.Exposure and practical experience on SQL Server Reporting Services will be an considered an advantage.Exposure to at least one NoSQL database such as Cosmos DB will be considered an advantage.Exposure to applications hosted on one of the leading cloud hosting platforms (Microsoft Azure, Amazon AWS, Google Cloud), and having practical ideas towards designing solutions to minimize resource usage. Qualifications B.Tech./B.E./ M.Tech./BCA/MCA with first class (>60%) throughout in academics, from reputed institutions.Familiarity with at least one or more source control tools like Github, or Subversion (SVN).Exposure and practical working experience on Agile methodology.The job requires some overlapping with the US based teams, so the candidate should be flexible to work in afternoon shift (1 PM – 10 PM) a couple days in a week. The regular shift would be either 10 AM – 7 PM, or 11 AM – 8 PM. Desired Qualifications Strong communication skills. PrismHR is a fast-paced SaaS company which provides customers with a cloud-based payroll process software application. PrismHR also provides professional services including system implementation consulting, custom configurations, and training. Lastly, via the Company’s Marketplace platform customers and end users access other human resources and employee benefits applications from PrismHR’s Marketplace Partners. Diversity, Equity And Inclusion Program/Affirmative Action Plan We have transformed our company into an inclusive environment where individuals are valued for their talents and empowered to reach their fullest potential. At PrismHR, we strive to continually lead with our values and beliefs that enable our employees to develop their potential, bring their full self to work, and engage in a world of inclusion. Ensuring an inclusive environment for our employees is an integral part of the PrismHR culture. We aren't just checking a box, we are truly committed to creating a workplace that celebrates the diversity of our employees and fosters a sense of belonging for everyone. This is essential to our success. We are dedicated to building a diverse, inclusive, and authentic workplace, so if you’re excited about our roles but your past experience doesn’t align perfectly with every qualification in the job description, we encourage you to apply anyway. You may be just the right candidate for these open roles or other open roles. We particularly encourage applicants from traditionally under-represented groups as we seek to increase the diversity of our workforce and provide fair opportunities for all. As a proud Equal Opportunity and Affirmative Action Employer, PrismHR encourages talent from all backgrounds to join our team. Employment decisions are based on an individual’s qualifications as they relate to the job under consideration. The Company’s policy prohibits unlawful discrimination based on sex (which includes pregnancy, childbirth, breastfeeding, or related medical conditions, the actual sex of the individual, or the gender identity or gender expression), race, color, religion, including religious dress practices and religious grooming practices, sexual orientation, national origin, ancestry, citizenship, marital status, familial status, age, physical disability, mental disability, medical condition, genetic information, protected veteran or military status, or any other consideration made unlawful by federal, state or local laws, ordinances, or regulations. The Company is committed to complying with all applicable laws providing equal employment opportunities. This commitment applies to all persons involved in the operations of the Company and prohibits unlawful discrimination by any employee of the Company, including supervisors and co-workers. Privacy Policy: For information about how we collect and use your personal information, please see our privacy statement available at https://www.prismhr.com/about/privacy-policy. PrismHR provides reasonable accommodation for qualified individuals with disabilities and disabled veterans in job application procedures. If you have any difficulty using our online system and you need a reasonable accommodation due to a disability, you may use the following alternative email address to contact us about your interest in employment at PrismHR: taglobal@prismhr.com. Please indicate in the subject line of your email that you are requesting accommodation. Only candidates being considered for a position who require an accommodation will receive a follow-up response."
